S NO,PROUDCT NAME,PRODUCT CATEGORY,VARIANT,UOM,QTY,MRP
1,BOXER,PLANT PROTECTANTS,BOXER 0050,ML,50,154
2,COMET,PLANT PROTECTANTS,COMET 0050,ML,50,154
3,LEO,PLANT PROTECTANTS,LEO 0050,ML,50,106
4,PANGEO,PLANT PROTECTANTS,PANGEO 0050,ML,50,154
5,SPRINT,PLANT PROTECTANTS,SPRINT 0050,ML,50,86
6,ROOTEX,PLANT PROTECTANTS,ROOTEX 0050,ML,50,55
7,FLORA,PLANT GROWTH PROMOTERS,FLORA 0050,ML,50,185
8,NORA,PLANT GROWTH PROMOTERS,NORA 0050,ML,50,81
9,BIOCONSTORTIUM,BIO-FERTILIZERS,BIOCONSTORTIUM 0050,ML,50,40
10,NORA GRANUELS,PLANT GROWTH PROMOTERS,NORA GR 50,KG,50,7500
11,BIOCONSTORTIUM,BIO-FERTILIZERS,BIOCONSTORTIUM 0050,ML,50,40
12,EM.SOLUTION,BIO-FERTILIZERS,EM.SOLUTION 0050,ML,50,43
13,ALL BIOFERTILIZERS,BIO-FERTILIZERS,ALL BIOFERTILIZERS 0050,ML,50,40
14,PH REGULATOR,BIO-FERTILIZERS,PH REGULATOR 0050,ML,50,43
15,FOUNDATION MIX,BIO CONSORTIUM,FOUNDATION MIX 30,KG,30,2200
16,AF-MONAS,BIO SEED TREATMENT,AF-MONAS 0050,ML,50,50
17,AF-TRICHO,BIO SEED TREATMENT,AF-TRICHO 0050,ML,50,50
